Date,y_real,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2020-02-20,-0.003822810945766,-0.0081391702931755,-0.0139405271165818,-0.0163129756334576,-0.0220182074265368,0,0
2020-02-21,-0.0105738150228934,-0.0096986010240898,-0.0170848954550799,-0.0199484574478932,-0.0337584974306951,1,0
2020-02-24,-0.0340880771197189,-0.0147647646616896,-0.0288199061162665,-0.0328722341182132,-0.0792467835143875,1,1
2020-02-25,-0.0307478941889017,-0.0211916345950456,-0.0482871825911115,-0.0486800704690755,-0.1054539726572963,1,0
2020-02-26,-0.0037857074291414,-0.0240298655140747,-0.049297083646868,-0.0547728284222331,-0.0891668440029178,0,0
2020-02-27,-0.0451681420122423,-0.0186214304380447,-0.0302785312308414,-0.0374724719548762,-0.058856638144911,1,1
2020-02-28,-0.0082724499142758,-0.0231474551260798,-0.0480324908720507,-0.0517877879435392,-0.0757583268692634,0,0
2020-03-02,0.0450108651727778,-0.0195852270045496,-0.0324548872435031,-0.039591056542295,-0.0572505774791759,0,0
2020-03-03,-0.0285104969659749,-0.0137652953726996,-0.0222619892999423,-0.0294218457790934,-0.0440460214411435,1,0
2020-03-04,0.0413363495923677,-0.023689619099994,-0.042538762813155,-0.0534364825716576,-0.0889453061406411,0,0
2020-03-05,-0.0345107906417928,-0.0140816896100247,-0.0264270223147783,-0.0304564332849571,-0.0509185844479986,1,1
2020-03-06,-0.0172009357419936,-0.0250654820731529,-0.0439514427646074,-0.0563445917401187,-0.107707208733317,0,0
2020-03-09,-0.0790103920822729,-0.0257088018357679,-0.05259720590596,-0.0572051827271717,-0.0917285613276418,1,1
2020-03-10,0.0482150441266199,-0.0271782109451594,-0.0555615634709823,-0.0621910419210531,-0.0981701970763801,0,0
2020-03-11,-0.0501028933153897,-0.0153264429663193,-0.0285381303316925,-0.0334505812184624,-0.0558964666227921,1,1
2020-03-12,-0.0999448556802066,-0.0287865579026198,-0.0615045734516959,-0.0679257903034293,-0.1352654554933642,1,1
