Date,y_real,mu_pred,sigma_pred,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2020-02-21,-0.0105738150228934,0.0021702306400129,0.0046869773281836,-0.0084902600315165,-0.014132098839074,-0.0177392818839782,-0.0286151166555684,1,0
2020-02-24,-0.0340880771197189,0.0019133549320989,0.006244189809274,-0.0145065517051444,-0.0315622906190146,-0.0333885216014183,-0.0538108348396834,1,1
2020-02-25,-0.0307478941889017,0.0016629855732266,0.0067335104226891,-0.0167738045036572,-0.0289472007726245,-0.0395898954135274,-0.0700785833874797,1,0
2020-02-26,-0.0037857074291414,0.0015207980406435,0.0089214988091836,-0.0230947693980243,-0.0481413494605663,-0.0539771289656029,-0.106589898655606,0,0
2020-02-27,-0.0451681420122423,0.0020182403881795,0.0084251415100203,-0.0177917315587337,-0.030476648854775,-0.036171829887819,-0.053322453503319,1,1
2020-02-28,-0.0082724499142758,0.0013212345085092,0.0098405196652601,-0.0256941604579243,-0.0456450980601792,-0.0592852447542611,-0.0958283851901043,0,0
2020-03-02,0.0450108651727778,0.0011865104785407,0.0080801957299899,-0.0181063954206897,-0.0296549245363199,-0.0365609986742753,-0.0503596551456483,0,0
2020-03-03,-0.0285104969659749,0.0014844225035755,0.006343122761105,-0.0136116642827721,-0.0288362623735016,-0.0279591196658952,-0.0405067160466153,1,1
2020-03-04,0.0413363495923677,0.0012586571948073,0.0088302654708036,-0.0226677434365513,-0.041971438955006,-0.051726194982068,-0.0935332966256676,0,0
2020-03-05,-0.0345107906417928,0.0013511562347014,0.0063563457695449,-0.0140814239498628,-0.0240650019000578,-0.0293355353374282,-0.0598158456160176,1,1
2020-03-06,-0.0172009357419936,0.0007493561131889,0.0091065058523972,-0.0242171800973993,-0.0474296881013372,-0.0551857818627849,-0.0883380591180295,0,0
2020-03-09,-0.0790103920822729,0.0012612408758036,0.0096769980866942,-0.0251708393025355,-0.0567767048043175,-0.0577394842579543,-0.0943296774582302,1,1
2020-03-10,0.0482150441266199,0.00128080307091,0.0098375108420518,-0.0261889224422559,-0.0483734260239635,-0.0613914963278278,-0.1388676388648151,0,0
2020-03-11,-0.0501028933153897,0.0012433797707614,0.0068010708289954,-0.0159683410351592,-0.0282388360518758,-0.0343931641913356,-0.0526000603981526,1,1
2020-03-12,-0.0999448556802066,0.0011840975332593,0.0101037741053331,-0.0280550943462316,-0.0551462873403641,-0.0679352032006878,-0.1442676211419783,1,1
2020-03-13,0.0888083967529246,0.0011728121443658,0.0101199777980297,-0.0296757569387579,-0.062309590416252,-0.0756237764646975,-0.1547737778988574,0,0
2020-03-16,-0.1276521830653392,0.0010260408700749,0.007020481760001,-0.0173929455063306,-0.0340363651380134,-0.0384843755209986,-0.0640521205697794,1,1
2020-03-17,0.0582262890612566,0.0006066511637396,0.0102540541422491,-0.0332826708657322,-0.1096839301307339,-0.090832910522232,-0.270330696798687,0,0
2020-03-18,-0.0532222549833952,0.0009309937797043,0.0070430417982155,-0.0204878260764359,-0.0389351729848782,-0.0522658950310742,-0.0977055019547003,1,1
2020-03-19,0.0046967630734607,0.0013089509132125,0.0106465786921702,-0.0355668138392409,-0.094938152546502,-0.1029347413537383,-0.2180213410626425,0,0
2020-03-20,-0.0443276366243312,0.001644967800607,0.0071523265077034,-0.0206817601496779,-0.0438514950978357,-0.055268441928668,-0.131000914811666,1,0
2020-03-23,-0.0297314925665413,0.0002471715176816,0.0104979308246164,-0.0364818114415369,-0.1015145963963185,-0.1046244886406254,-0.3026272188249459,0,0
2020-03-24,0.0896832425038081,0.002280059339685,0.0108511783517177,-0.0357394426119218,-0.0936492217097825,-0.1064313070763696,-0.2510009348051368,0,0
2020-03-25,0.0114689982085231,0.0007844126180298,0.0073105059970945,-0.0250325482829466,-0.062890466675094,-0.0736156228821815,-0.1620975831157008,0,0
2020-03-26,0.0605438263785688,0.000284212434282,0.0074526688258352,-0.0257280242011019,-0.230805371303317,-0.0738119766509048,-0.1660602430643261,0,0
2020-03-27,-0.0342678460444303,0.0011603413523558,0.0075715038888949,-0.0268732443825075,-0.0631722302248788,-0.0834988414834083,-0.3152576838301315,1,0
2020-03-30,0.0329665781501471,0.0003408304475436,0.0115957751964169,-0.0433391465541704,-0.15453795281356,-0.1338330915147335,-0.3617690890543111,0,0
2020-03-31,-0.0161423052108988,0.0003915136694552,0.0077531171283833,-0.0290424313718073,-0.0718593189205149,-0.0907207282411255,-0.2056882957464397,0,0
