Model,Confidence,LR_ind,p_value
Baseline,95%,0.04943945035881825,0.8240415580214818
Sentiment,95%,0.0808728261546321,0.7761180501983038
Baseline,99%,4.243042363628604,0.039411482262262876
Sentiment,99%,3.536738391493742,0.06002338276756869
