Date,y_real,VaR_95,ES_95
2020-02-21,-0.0105738150228934,-0.0084902600315165,-0.014132098839074
2020-02-24,-0.0340880771197189,-0.0145065517051444,-0.0315622906190146
2020-02-25,-0.0307478941889017,-0.0167738045036572,-0.0289472007726245
2020-02-27,-0.0451681420122423,-0.0177917315587337,-0.030476648854775
2020-03-03,-0.0285104969659749,-0.0136116642827721,-0.0288362623735016
2020-03-05,-0.0345107906417928,-0.0140814239498628,-0.0240650019000578
2020-03-09,-0.0790103920822729,-0.0251708393025355,-0.0567767048043175
2020-03-11,-0.0501028933153897,-0.0159683410351592,-0.0282388360518758
2020-03-12,-0.0999448556802066,-0.0280550943462316,-0.0551462873403641
2020-03-16,-0.1276521830653392,-0.0173929455063306,-0.0340363651380134
2020-03-18,-0.0532222549833952,-0.0204878260764359,-0.0389351729848782
2020-03-20,-0.0443276366243312,-0.0206817601496779,-0.0438514950978357
2020-03-27,-0.0342678460444303,-0.0268732443825075,-0.0631722302248788
2020-06-11,-0.0607526945420899,-0.0173189036994573,-0.0283724721907974
2020-06-24,-0.0261952459494167,-0.0155174823558853,-0.0261230626416347
2020-06-26,-0.0245252173351294,-0.0165797892025817,-0.0294691722925084
2020-09-03,-0.0357575855396642,-0.0081000819583045,-0.0144026762120825
2020-09-08,-0.0281488368506128,-0.0172362472977097,-0.0291145387726313
2020-09-23,-0.0240073552153839,-0.0167036934220706,-0.0287722433282352
2020-10-26,-0.0187644665127659,-0.0168221465358787,-0.0253499127167944
2020-10-28,-0.0359255417333993,-0.0161721463035107,-0.0260311508427917
2021-01-04,-0.0148647717692249,-0.0072978225200536,-0.0132549030492595
2021-01-27,-0.0260133158686382,-0.0101636564237393,-0.0183739680466037
2021-01-29,-0.0195003795636506,-0.0147757789430486,-0.026955922626191
2021-02-25,-0.0247833832014874,-0.0141504037819071,-0.0225672275323729
2021-03-18,-0.0148705457646131,-0.0148338605959277,-0.0235100946914492
2021-05-12,-0.0216827925368824,-0.0157232397888702,-0.0271496506024728
2021-06-18,-0.0132113632595181,-0.0093414703087026,-0.0157398849405106
2021-07-19,-0.0159967995826508,-0.0129018647832654,-0.0225729500440408
2021-09-28,-0.0205743220553324,-0.0111053171056815,-0.0182135673228101
2021-09-30,-0.0119812209738146,-0.0100401833434997,-0.0169902008858668
2021-10-04,-0.0130709339999375,-0.0113935202502875,-0.0200201546759307
2021-11-26,-0.0229870232086985,-0.0105971702636386,-0.0163170016777262
2021-11-30,-0.0191433769923367,-0.0113596560611662,-0.0182185532698929
2022-01-05,-0.0195832515018321,-0.0118170399614045,-0.0218477541036469
2022-01-13,-0.014346026544273,-0.0120091491801055,-0.0204324230354595
2022-01-18,-0.0185590978783949,-0.0127118656142086,-0.0220707099997634
2022-02-03,-0.0246934847129309,-0.0162014428346627,-0.0263935786020166
2022-02-10,-0.0182818249080078,-0.0146657000830969,-0.0262571982878188
2022-02-11,-0.0191516958047604,-0.0155659224628524,-0.0273516687423597
2022-02-17,-0.021400503970776,-0.0150029242725716,-0.0281378566909709
2022-03-07,-0.0299625932579454,-0.0241275053486648,-0.0391822949311305
2022-04-22,-0.0281320828600566,-0.0152144186102966,-0.0270575868497024
2022-04-26,-0.0285500038051942,-0.01415752526395,-0.0233361040242049
2022-04-29,-0.0369591539233294,-0.0186639334358299,-0.0296046868866649
2022-05-05,-0.0363006766217827,-0.0259395263264237,-0.043990405435856
2022-05-09,-0.0325615064825086,-0.0194005931295872,-0.0359741826134249
2022-05-18,-0.0412338179284718,-0.0240089213706055,-0.0377997713362218
2022-06-13,-0.0395399255036289,-0.0349359809264136,-0.0673856655416879
2022-08-22,-0.0216323793926438,-0.0203991321702973,-0.0327013043356332
2022-08-26,-0.0342685752082448,-0.0150220794177983,-0.026392965447331
2022-09-13,-0.0441991842044157,-0.0188234486785577,-0.0315763999548773
2022-10-14,-0.0239471086142996,-0.0228937666626578,-0.038815423933549
2022-11-02,-0.0253198553584949,-0.0236103930649411,-0.0412874166671439
2023-03-09,-0.0186318474241411,-0.0108549627278192,-0.0200691999061538
2023-04-25,-0.0159371701551567,-0.0113596871335336,-0.0199274332801921
2023-08-02,-0.0139362130413624,-0.0126678302517153,-0.0213306179058173
2023-08-24,-0.0135493522716367,-0.0125049891348296,-0.0214279178051227
2023-09-15,-0.0122341518047621,-0.0119238915899169,-0.0207342712490934
2023-09-21,-0.0165369193832965,-0.0146991637539388,-0.0228965914582295
2023-09-26,-0.0148441524626065,-0.0088655591107297,-0.0154376848695844
2023-10-03,-0.0138393861927865,-0.0125431260967577,-0.0195126902896359
2023-10-18,-0.0134904087798078,-0.0132672335460731,-0.020015910378822
2023-10-25,-0.0144434450238718,-0.0137959230835802,-0.0199125143436123
2023-12-20,-0.0147931438619793,-0.0133671031159654,-0.0227391189278719
2024-01-31,-0.0162368492104371,-0.012152348471105,-0.0199814292398741
2024-02-13,-0.0137686051242626,-0.010210226710469,-0.0184985309737147
2024-04-04,-0.0124110214341974,-0.0110985523623218,-0.0172599145183726
2024-04-12,-0.014657587227194,-0.0102999458713148,-0.0180779927273355
2024-04-30,-0.0158555550658261,-0.0120176785109016,-0.0185920405682807
2024-07-17,-0.0140254458458175,-0.0092347948236104,-0.0150756219548525
2024-07-24,-0.0234212328686391,-0.0121500402292165,-0.0190163363030303
2024-08-01,-0.0137881184966431,-0.0117876495382591,-0.0213339331960772
2024-08-02,-0.0185529033106037,-0.0141013143713237,-0.0218956232224496
2024-08-05,-0.0304270449190397,-0.0144507701830992,-0.0219175012098295
2024-09-03,-0.021377958577089,-0.015892548864021,-0.0250139281472376
2024-10-31,-0.0187901303444788,-0.0125571944074712,-0.0216703734898863
2024-12-18,-0.0299365039227115,-0.0118915174847218,-0.0225833517743889
2025-01-10,-0.0155316443538942,-0.0122661550531968,-0.0206130342719701
2025-01-27,-0.0146880509291065,-0.0133780042431116,-0.0217364379457598
2025-02-21,-0.0172113906215363,-0.0134057361765161,-0.021719957762834
2025-02-27,-0.0159917537622633,-0.0129923696207703,-0.0199597353144837
2025-03-03,-0.0177534051858234,-0.0116860929659975,-0.0215899112872527
2025-03-06,-0.0179796834527301,-0.0121904549688353,-0.0203938497278314
2025-03-10,-0.0273435352259931,-0.012759331936976,-0.0203122998339843
2025-03-13,-0.0139883695066016,-0.0126939527159617,-0.0208046170825316
2025-04-03,-0.0496059128307296,-0.0180754471329802,-0.0313352299436929
2025-04-04,-0.0616090539678742,-0.0203882873411377,-0.0332411183122763
2025-04-10,-0.0352206074844076,-0.0235152179532892,-0.0417754463234819
2025-04-21,-0.0238496483126011,-0.0219896339408066,-0.0357816012238946
2025-06-13,-0.011360676759867,-0.0110384737479997,-0.018295034157182
2025-08-01,-0.0161213758828399,-0.0125428676214261,-0.0189119276094579
2025-10-10,-0.0274859756456597,-0.0103756617807497,-0.0168651756097005
2025-11-04,-0.0118062489182134,-0.0104260430617202,-0.018033822214556
2025-11-06,-0.0112411323709107,-0.0088429922100959,-0.0168012631292855
2025-11-13,-0.0166954535399741,-0.0112195748278376,-0.0172601327297622
2025-11-20,-0.0156897274459146,-0.012959724154922,-0.018241402554608
