Model,Confidence,LR_uc,p_value
Baseline,95%,12.097030139884971,0.0005050219792993582
Sentiment,95%,7.083250676276954,0.007780773634277205
Baseline,99%,2.7451770731073246,0.09754827042485936
Sentiment,99%,4.938354996799269,0.02626702401238945
