Model,Confidence,Observations,Violations,Violation rate,Realized tail mean,Predicted ES mean (violations),Tail mean gap (ES_pred - realized),ES Bias,ES MAE,ES RMSE
Baseline,95%,1515,107,0.07062706270627063,-0.025195445213441837,-0.026669469201864117,-0.0014740239884222794,-0.0014740239884222844,0.00889470706226085,0.017914808034071656
Baseline,99%,1515,22,0.014521452145214522,-0.04623498488754951,-0.05768090257430829,-0.011445917686758775,-0.011445917686758773,0.016095933651774617,0.02002036676792338
Sentiment,95%,1474,97,0.06580732700135686,-0.02629037104772593,-0.025895709541827707,0.00039466150589822363,0.00039466150589822455,0.008553696103351362,0.014298546616851199
Sentiment,99%,1474,24,0.016282225237449117,-0.04578760081147747,-0.05373526698269402,-0.007947666171216547,-0.007947666171216549,0.01475565532029847,0.021175040431925335
