Date,y_real_baseline,VaR_95_baseline,ES_95_baseline,violation_95_baseline,y_real_sentiment,VaR_95_sentiment,ES_95_sentiment,violation_95_sentiment
2020-02-21,-0.0105738150228934,-0.0096986010240898,-0.0170848954550799,1,-0.0105738150228934,-0.0084902600315165,-0.014132098839074,1
2020-02-24,-0.0340880771197189,-0.0147647646616896,-0.0288199061162665,1,-0.0340880771197189,-0.0145065517051444,-0.0315622906190146,1
2020-02-25,-0.0307478941889017,-0.0211916345950456,-0.0482871825911115,1,-0.0307478941889017,-0.0167738045036572,-0.0289472007726245,1
2020-02-26,-0.0037857074291414,-0.0240298655140747,-0.049297083646868,0,-0.0037857074291414,-0.0230947693980243,-0.0481413494605663,0
2020-02-27,-0.0451681420122423,-0.0186214304380447,-0.0302785312308414,1,-0.0451681420122423,-0.0177917315587337,-0.030476648854775,1
2020-02-28,-0.0082724499142758,-0.0231474551260798,-0.0480324908720507,0,-0.0082724499142758,-0.0256941604579243,-0.0456450980601792,0
2020-03-02,0.0450108651727778,-0.0195852270045496,-0.0324548872435031,0,0.0450108651727778,-0.0181063954206897,-0.0296549245363199,0
2020-03-03,-0.0285104969659749,-0.0137652953726996,-0.0222619892999423,1,-0.0285104969659749,-0.0136116642827721,-0.0288362623735016,1
2020-03-04,0.0413363495923677,-0.023689619099994,-0.042538762813155,0,0.0413363495923677,-0.0226677434365513,-0.041971438955006,0
2020-03-05,-0.0345107906417928,-0.0140816896100247,-0.0264270223147783,1,-0.0345107906417928,-0.0140814239498628,-0.0240650019000578,1
2020-03-06,-0.0172009357419936,-0.0250654820731529,-0.0439514427646074,0,-0.0172009357419936,-0.0242171800973993,-0.0474296881013372,0
2020-03-09,-0.0790103920822729,-0.0257088018357679,-0.05259720590596,1,-0.0790103920822729,-0.0251708393025355,-0.0567767048043175,1
2020-03-10,0.0482150441266199,-0.0271782109451594,-0.0555615634709823,0,0.0482150441266199,-0.0261889224422559,-0.0483734260239635,0
2020-03-11,-0.0501028933153897,-0.0153264429663193,-0.0285381303316925,1,-0.0501028933153897,-0.0159683410351592,-0.0282388360518758,1
2020-03-12,-0.0999448556802066,-0.0287865579026198,-0.0615045734516959,1,-0.0999448556802066,-0.0280550943462316,-0.0551462873403641,1
2020-03-13,0.0888083967529246,-0.0309913576876018,-0.0608944890474283,0,0.0888083967529246,-0.0296757569387579,-0.062309590416252,0
2020-03-16,-0.1276521830653392,-0.0177060671074046,-0.0351583805476347,1,-0.1276521830653392,-0.0173929455063306,-0.0340363651380134,1
2020-03-17,0.0582262890612566,-0.0343603094667457,-0.0989486591925754,0,0.0582262890612566,-0.0332826708657322,-0.1096839301307339,0
2020-03-18,-0.0532222549833952,-0.0204014561648374,-0.0448245409949664,1,-0.0532222549833952,-0.0204878260764359,-0.0389351729848782,1
2020-03-19,0.0046967630734607,-0.0380193936395135,-0.1035699828505453,0,0.0046967630734607,-0.0355668138392409,-0.094938152546502,0
2020-03-20,-0.0443276366243312,-0.0217448261112938,-0.0504491799616658,1,-0.0443276366243312,-0.0206817601496779,-0.0438514950978357,1
2020-03-23,-0.0297314925665413,-0.0381438026841903,-0.1131626176094077,0,-0.0297314925665413,-0.0364818114415369,-0.1015145963963185,0
2020-03-24,0.0896832425038081,-0.0396655518820252,-0.1064986849592663,0,0.0896832425038081,-0.0357394426119218,-0.0936492217097825,0
2020-03-25,0.0114689982085231,-0.024531116009365,-0.0843466620805558,0,0.0114689982085231,-0.0250325482829466,-0.062890466675094,0
2020-03-26,0.0605438263785688,-0.0242966800246878,-0.0995228042313917,0,0.0605438263785688,-0.0257280242011019,-0.230805371303317,0
2020-03-27,-0.0342678460444303,-0.0257587951611797,-0.1624656068800877,1,-0.0342678460444303,-0.0268732443825075,-0.0631722302248788,1
2020-03-30,0.0329665781501471,-0.0447472928029637,-0.1263073068864426,0,0.0329665781501471,-0.0433391465541704,-0.15453795281356,0
2020-03-31,-0.0161423052108988,-0.0275747816094658,-0.1544183917296328,0,-0.0161423052108988,-0.0290424313718073,-0.0718593189205149,0
2020-04-01,-0.0451463674180075,-0.0462883301870709,-0.1430704565549416,0,-0.0451463674180075,-0.0453232937328174,-0.1136982199711694,0
2020-04-02,0.0225726561294403,-0.0491954089742005,-0.1385048734204246,0,0.0225726561294403,-0.0475679434094819,-0.211013372447898,0
2020-04-03,-0.0152528608402,-0.0309521880724569,-0.0848523949028225,0,-0.0152528608402,-0.0306628253300731,-0.0806042165737495,0
2020-04-06,0.0679682332080674,-0.0518968587760654,-0.1329273082965232,0,0.0679682332080674,-0.0431047478711566,-0.1222257935678591,0
2020-04-07,-0.0016043317232304,-0.0351725947071598,-0.1192715523733839,0,-0.0016043317232304,-0.0346418983990307,-0.1159638631370764,0
2020-04-08,0.0334893828470159,-0.0368445030476233,-0.0973481416107959,0,0.0334893828470159,-0.0362458122708553,-0.1000749354416061,0
2020-04-09,0.014383474542832,-0.0363385234546398,-0.1038007758826986,0,0.014383474542832,-0.0353498123146684,-0.1004091270952802,0
2020-04-13,-0.0101560645624545,-0.0367163985106322,-0.1073500417632674,0,-0.0101560645624545,-0.0369961252772303,-0.0945200933328666,0
2020-04-14,0.0301145678972492,-0.0478792268222068,-0.365556672571945,0,0.0301145678972492,-0.0441115047732763,-0.1350240155165631,0
2020-04-15,-0.0222767498875067,-0.0384117481666432,-0.1011859935993047,0,-0.0222767498875067,-0.0381895143487922,-0.1155183826606598,0
2020-04-16,0.0057998230646387,-0.0567560410140212,-0.1523414368521513,0,0.0057998230646387,-0.0540070700387374,-0.1548007150550825,0
2020-04-17,0.0264409638671176,-0.0369324300052483,-0.0970065997490952,0,0.0264409638671176,-0.0348401275268771,-0.0842169311687737,0
2020-04-20,-0.0180428643090241,-0.0400752467651348,-0.1163595478636671,0,-0.0180428643090241,-0.0392506394825275,-0.0959738200249933,0
2020-04-21,-0.0311550958162663,-0.0559508397890807,-0.1295188007770149,0,-0.0311550958162663,-0.0550486576254453,-0.1551792347244039,0
2020-04-22,0.0226713002429618,-0.0561719853135997,-0.1656369842826624,0,0.0226713002429618,-0.0577358742917721,-0.1652109954374255,0
2020-04-23,-0.0005395999041152,-0.0411621334377057,-0.1367356238919517,0,-0.0005395999041152,-0.0401760413027891,-0.0932134597140813,0
2020-04-24,0.0138221114617196,-0.0389052750140363,-0.0977144646225241,0,0.0138221114617196,-0.0363244690583407,-0.1039043040523406,0
2020-04-27,0.0146068715244491,-0.0410502584588668,-0.1082187453285775,0,0.0146068715244491,-0.0390347643790465,-0.1007683113654526,0
2020-04-28,-0.0052561743837598,-0.0397628606902695,-0.0878914285300838,0,-0.0052561743837598,-0.0383586362780462,-0.0740957884841784,0
2020-04-29,0.0262366981308891,-0.0383898870054621,-0.1123128161358326,0,0.0262366981308891,-0.035839703813851,-0.0963024635814033,0
2020-04-30,-0.0092551508608553,-0.0399594820874771,-0.1120391273192491,0,-0.0092551508608553,-0.0376879566292937,-0.0739359131174954,0
2020-05-01,-0.0284601863512391,-0.0417659952093765,-0.1128722141878307,0,-0.0284601863512391,-0.0402862977171445,-0.0808534961769173,0
2020-05-04,0.0042408122145938,-0.0562173331900109,-0.1417446431182765,0,0.0042408122145938,-0.0580635806913752,-0.2048133565177797,0
2020-05-05,0.0089999173273822,-0.0376250937907111,-0.0936301278458437,0,0.0089999173273822,-0.0355930565855387,-0.1091096823895507,0
2020-05-06,-0.0070038736436275,-0.0375006599308831,-0.0941943135846219,0,-0.0070038736436275,-0.0342547000926316,-0.0603466584751493,0
2020-05-07,0.0114389490633546,-0.0387130890274571,-0.0858584072784684,0,0.0114389490633546,-0.0354932944843752,-0.0745855579875196,0
2020-05-08,0.0167307927704322,-0.0381533391453194,-0.1015596330610571,0,0.0167307927704322,-0.0364108023730854,-0.0849121554504362,0
2020-05-11,0.0001330719019072,-0.0397263212895701,-0.0836511958066549,0,0.0001330719019072,-0.0379645553360436,-0.0822478709362171,0
2020-05-12,-0.0207133576295629,-0.0360669168873224,-0.1014904603397773,0,-0.0207133576295629,-0.0343903390485141,-0.0601757910009153,0
2020-05-13,-0.0176169906358547,-0.0584093461411775,-0.1246253459422609,0,-0.0176169906358547,-0.05816766601615,-0.1191384397617576,0
2020-05-14,0.0114589178040714,-0.0601260269108859,-0.1301875325270516,0,0.0114589178040714,-0.0586322647643969,-0.1497251355745778,0
2020-05-15,0.0039186922544353,-0.0394926886251259,-0.0829583108496821,0,0.0039186922544353,-0.0386803127500921,-0.0792192918614935,0
2020-05-18,0.0310151876199215,-0.0363216824248079,-0.0772874285745291,0,0.0310151876199215,-0.0359856697190152,-0.0740325477797034,0
2020-05-19,-0.0105397577781199,-0.040772647037768,-0.0854544784513202,0,-0.0105397577781199,-0.0401767508622487,-0.0936659972733834,0
2020-05-20,0.0165140022817817,-0.0179906241151549,-0.0359410581198098,0,0.0165140022817817,-0.0432803478468464,-0.0758798512493768,0
2020-05-21,-0.0078039691244139,-0.0179907052272919,-0.0296548342304675,0,-0.0078039691244139,-0.0191876208246612,-0.031858901433265,0
2020-05-22,0.0023509655202508,-0.0148525313597001,-0.0287531991631699,0,0.0023509655202508,-0.0147139075430777,-0.0273310429319559,0
2020-05-26,0.0122142619717501,-0.0136677042001568,-0.0247593512476853,0,0.0122142619717501,-0.0157420666724676,-0.0281323056986551,0
2020-05-27,0.0147184596796299,-0.018380800959361,-0.0284091187899581,0,0.0147184596796299,-0.0197774489515429,-0.0316488653968965,0
2020-05-28,-0.0021101385393776,-0.0176360628204694,-0.030836252092047,0,-0.0021101385393776,-0.0193528316235762,-0.034333454700075,0
2020-05-29,0.0048008007069699,-0.0179414460618995,-0.0293836132626828,0,0.0048008007069699,-0.0161308918608127,-0.0278106124457117,0
2020-06-01,0.0037442092688515,-0.0161744452060152,-0.0291130159506715,0,0.0037442092688515,-0.0151282590962485,-0.028042127712862,0
2020-06-02,0.0081773111609137,-0.0157054853110635,-0.0246540148132458,0,0.0081773111609137,-0.0163131956344081,-0.0257129677078051,0
2020-06-03,0.0135566550386172,-0.0167471831551721,-0.0304902236032995,0,0.0135566550386172,-0.015712610964635,-0.024760577174123,0
2020-06-04,-0.0033743828268093,-0.018709797881896,-0.0302923827583068,0,-0.0033743828268093,-0.0195247332673278,-0.0305866223950785,0
2020-06-05,0.0258740021621006,-0.0172582765506863,-0.0297889857941478,0,0.0258740021621006,-0.015271522823474,-0.0265982770715072,0
2020-06-08,0.011969668608388,-0.0190252963375625,-0.036526172194731,0,0.011969668608388,-0.0197400949519281,-0.0329242881439384,0
2020-06-09,-0.0078297555813769,-0.0183603783980737,-0.0312102507206482,0,-0.0078297555813769,-0.0176443446097334,-0.0280568325019426,0
2020-06-10,-0.0053272435431177,-0.0182844615127123,-0.0309600874059073,0,-0.0053272435431177,-0.0173176178104201,-0.0277961974715558,0
2020-06-11,-0.0607526945420899,-0.0176852764315179,-0.0305876306808369,1,-0.0607526945420899,-0.0173189036994573,-0.0283724721907974,1
2020-06-12,0.012976299439118,-0.0224790087623875,-0.0553969617342915,0,0.012976299439118,-0.0284414139799804,-0.0562965082844995,0
2020-06-15,0.0082778511523731,-0.0178418188392862,-0.0302223864822055,0,0.0082778511523731,-0.018687213354561,-0.0303029322892612,0
2020-06-16,0.0187848520431626,-0.0140859722160916,-0.0245492146686843,0,0.0187848520431626,-0.0151590577257244,-0.0260409073365568,0
2020-06-17,-0.0036067962213368,-0.0169388259106727,-0.029258261859989,0,-0.0036067962213368,-0.0176561112877273,-0.0315488275280608,0
2020-06-18,0.0005940441542647,-0.013701209884347,-0.0274094236970464,0,0.0005940441542647,-0.015311142459448,-0.0283495519790158,0
2020-06-19,-0.0056655143001892,-0.0130972055932887,-0.027619700181478,0,-0.0056655143001892,-0.0152011250438641,-0.0259055412425813,0
2020-06-22,0.0064740877637197,-0.014737426965047,-0.0268159933606073,0,0.0064740877637197,-0.0153124317428797,-0.0313903844455147,0
2020-06-23,0.004298159097032,-0.0131730966522538,-0.0264788845852116,0,0.004298159097032,-0.0148801931979131,-0.0262277009517255,0
2020-06-24,-0.0261952459494167,-0.0140809214011276,-0.0254450595502432,1,-0.0261952459494167,-0.0155174823558853,-0.0261230626416347,1
2020-06-25,0.0108998173900716,-0.0216540380186954,-0.0503646213170403,0,0.0108998173900716,-0.0247479606293653,-0.0494045886701637,0
2020-06-26,-0.0245252173351294,-0.0172889242194664,-0.0281204346769851,1,-0.0245252173351294,-0.0165797892025817,-0.0294691722925084,1
