Date,y_real,VaR_99,ES_99
2020-02-24,-0.0340880771197189,-0.0328722341182132,-0.0792467835143875
2020-02-27,-0.0451681420122423,-0.0374724719548762,-0.058856638144911
2020-03-05,-0.0345107906417928,-0.0304564332849571,-0.0509185844479986
2020-03-09,-0.0790103920822729,-0.0572051827271717,-0.0917285613276418
2020-03-11,-0.0501028933153897,-0.0334505812184624,-0.0558964666227921
2020-03-12,-0.0999448556802066,-0.0679257903034293,-0.1352654554933642
2020-03-16,-0.1276521830653392,-0.041152872607021,-0.0857673735184508
2020-06-11,-0.0607526945420899,-0.0353770990106881,-0.0640010553873515
2020-09-03,-0.0357575855396642,-0.0187225588255601,-0.0264922194713783
2020-10-28,-0.0359255417333993,-0.0336387710268421,-0.0688003663452342
2021-01-27,-0.0260133158686382,-0.0190049013498253,-0.0284606231191167
2021-11-26,-0.0229870232086985,-0.0202647206983804,-0.0310146362360846
2022-04-29,-0.0369591539233294,-0.0368126359870028,-0.0603340086634131
2022-08-26,-0.0342685752082448,-0.0342092128483051,-0.0530007148333835
2022-09-13,-0.0441991842044157,-0.0381070797782844,-0.0600326923583735
2024-07-24,-0.0234212328686391,-0.0234188513243787,-0.0376913250159432
2024-08-05,-0.0304270449190397,-0.0294958306234554,-0.0425994866278129
2024-12-18,-0.0299365039227115,-0.0247461589207463,-0.0397549683509386
2025-03-10,-0.0273435352259931,-0.0216173315924163,-0.0337032763457701
2025-04-03,-0.0496059128307296,-0.0373084141868909,-0.0574929903673164
2025-04-04,-0.0616090539678742,-0.0493600175792869,-0.0702501596724845
2025-10-10,-0.0274859756456597,-0.0249509312301057,-0.0376714707706352
