market_date,sent_mean,sent_median,sent_std,news_count,frac_neg,frac_pos,frac_neu,sent_se
2017-11-03,-0.89975053,-0.89975053,0.0,1,1.0,0.0,0.0,0.0
2017-11-07,-0.35892487,-0.35892487,0.17406836,2,0.5,0.0,0.5,0.12308491882136598
2017-11-09,0.23951848,0.23951848,0.0,1,0.0,0.0,1.0,0.0
2017-11-13,0.12796968,0.12796968,0.10385147,2,0.0,0.0,1.0,0.07343407681419833
2017-11-15,-0.018028308,-0.018028308,0.0,1,0.0,0.0,1.0,0.0
2017-11-20,-0.15780279,-0.15780279,0.0,1,0.0,0.0,1.0,0.0
2017-11-21,-0.12717372,-0.12717372,0.0797825,2,0.0,0.0,1.0,0.05641474738030209
2017-11-27,0.024749145,-0.07417066,0.19613183,5,0.0,0.0,1.0,0.08771281885015991
2017-11-28,-0.23323922,-0.16884607,0.51803476,4,0.25,0.0,0.75,0.25901737809181213
2017-11-29,-0.07130873,-0.07130873,0.053234316,2,0.0,0.0,1.0,0.037642346124375524
2017-11-30,0.17328931,0.17328931,0.0,1,0.0,0.0,1.0,0.0
2017-12-01,-0.032034144,-0.032034144,0.0,1,0.0,0.0,1.0,0.0
2017-12-04,0.12722367,0.12722367,0.0,1,0.0,0.0,1.0,0.0
2017-12-07,0.18599127,0.18599127,0.0,1,0.0,0.0,1.0,0.0
2017-12-12,0.09812928,0.09812928,0.0,1,0.0,0.0,1.0,0.0
2017-12-15,-0.016113486,-0.016113486,0.0,1,0.0,0.0,1.0,0.0
2017-12-20,0.14430685,0.14430685,0.0,1,0.0,0.0,1.0,0.0
2017-12-21,0.10012826,0.10012826,0.0,1,0.0,0.0,1.0,0.0
2018-01-03,0.3731767,0.3731767,0.0,1,0.0,1.0,0.0,0.0
2018-01-05,0.33154264,0.33154264,0.0,1,0.0,0.0,1.0,0.0
2018-01-07,0.022232503,0.022232503,0.0,1,0.0,0.0,1.0,0.0
2018-01-08,0.09493626,0.093822084,0.056871958,4,0.0,0.0,1.0,0.028435979038476944
2018-01-10,0.13070874,0.13070874,0.0,1,0.0,0.0,1.0,0.0
2018-01-23,0.12977815,0.12977815,0.0,1,0.0,0.0,1.0,0.0
2018-01-25,0.0062859654,0.0062859654,0.0,1,0.0,0.0,1.0,0.0
2018-01-30,-0.013792971,-0.013792971,0.0,1,0.0,0.0,1.0,0.0
2018-01-31,-0.08855508,-0.08855508,0.043652315,2,0.0,0.0,1.0,0.030866847733722554
2018-02-01,-0.12642623,-0.14264522,0.13804516,3,0.0,0.0,1.0,0.07970041141938015
2018-02-05,0.015211876,0.022667944,0.1714417,3,0.0,0.0,1.0,0.09898191397482299
2018-02-07,-0.29655227,-0.29655227,0.4120416,2,0.5,0.0,0.5,0.29135741268629295
2018-02-08,0.17989542,0.17989542,0.16306175,2,0.0,0.0,1.0,0.11530207123863216
2018-02-12,-0.42299435,-0.42299435,0.0,1,0.0,0.0,1.0,0.0
2018-02-15,-0.13506961,-0.13506961,0.0,1,0.0,0.0,1.0,0.0
2018-02-20,-0.45761105,-0.45761105,0.47045946,2,0.5,0.0,0.5,0.3326650752964866
2018-02-22,-0.06044667,-0.06044667,0.0,1,0.0,0.0,1.0,0.0
2018-02-27,-0.09975458,-0.09975458,0.0,1,0.0,0.0,1.0,0.0
2018-03-01,0.037397757,0.037397757,0.0,1,0.0,0.0,1.0,0.0
2018-03-05,0.021455713,0.021455713,0.21818574,2,0.0,0.0,1.0,0.15428061470641674
2018-03-07,-0.62268835,-0.62268835,0.2647087,2,0.5,0.0,0.5,0.1871773152505187
2018-03-13,-0.018741226,-0.018741226,0.0,1,0.0,0.0,1.0,0.0
2018-03-14,0.24673936,0.24673936,0.0,1,0.0,0.0,1.0,0.0
2018-03-16,0.016824469,0.016824469,0.5472916,2,0.0,0.0,1.0,0.38699358528563577
2018-03-19,0.2593899,0.2593899,0.1280135,2,0.0,0.0,1.0,0.09051921855204434
2018-03-26,-0.9557609,-0.9557609,0.0,1,1.0,0.0,0.0,0.0
2018-03-27,0.26550773,0.30635968,0.18489897,4,0.0,0.0,1.0,0.09244948625564575
2018-04-03,0.6876994,0.6876994,0.0,1,0.0,1.0,0.0,0.0
2018-04-04,0.021242142,0.021242142,0.20733601,2,0.0,0.0,1.0,0.1466086976289636
2018-04-05,-0.057473436,-0.057473436,0.0,1,0.0,0.0,1.0,0.0
2018-04-16,0.05843623,0.04838007,0.12348912,6,0.0,0.0,1.0,0.050414221768563056
2018-04-17,-0.03320371,-0.03320371,0.18040176,2,0.0,0.0,1.0,0.12756330596687593
2018-04-19,-0.0012174295,-0.0012174295,0.012134517,2,0.0,0.0,1.0,0.008580398982550547
2018-04-26,-0.06502894,-0.06502894,0.0,1,0.0,0.0,1.0,0.0
2018-05-01,-0.018018696,-0.018018696,0.0,1,0.0,0.0,1.0,0.0
2018-05-02,-0.0064472314,-0.0064472314,0.00890379,2,0.0,0.0,1.0,0.006295930474871765
2018-05-03,0.19094963,0.19094963,0.0,1,0.0,0.0,1.0,0.0
2018-05-10,0.28160208,0.28160208,0.0,1,0.0,0.0,1.0,0.0
2018-05-16,-0.058462456,-0.058462456,0.0,1,0.0,0.0,1.0,0.0
2018-05-23,-0.0066820458,-0.0066820458,0.0,1,0.0,0.0,1.0,0.0
2018-05-24,0.32469085,0.32469085,0.0,1,0.0,0.0,1.0,0.0
2018-05-29,0.4704289,0.4704289,0.0,1,0.0,1.0,0.0,0.0
2018-06-03,0.22824955,0.22824955,0.0,1,0.0,0.0,1.0,0.0
2018-06-04,0.042276762,0.042276762,0.0,1,0.0,0.0,1.0,0.0
2018-06-14,-0.11157567,-0.11157567,0.1024167,2,0.0,0.0,1.0,0.07241954421862441
2018-06-21,-0.8117499,-0.8117499,0.0,1,1.0,0.0,0.0,0.0
2018-06-25,0.0832329,0.0832329,0.0,1,0.0,0.0,1.0,0.0
2018-07-02,0.53423727,0.53423727,0.0,1,0.0,1.0,0.0,0.0
2018-07-12,0.16706687,0.16706687,0.0,1,0.0,0.0,1.0,0.0
2018-07-18,-0.01013766,-0.01013766,0.0,1,0.0,0.0,1.0,0.0
2018-07-19,0.010265773,0.010265773,0.0,1,0.0,0.0,1.0,0.0
2018-07-30,0.093354896,0.093354896,0.0,1,0.0,0.0,1.0,0.0
2018-07-31,-0.063467175,-0.063467175,0.0,1,0.0,0.0,1.0,0.0
2018-08-01,-0.007764671,-0.007764671,0.0,1,0.0,0.0,1.0,0.0
2018-08-03,-0.10282755,-0.10282755,0.0,1,0.0,0.0,1.0,0.0
2018-08-08,0.10685991,0.10685991,0.0,1,0.0,0.0,1.0,0.0
2018-08-10,-0.44385755,-0.44385755,0.13550042,2,0.5,0.0,0.5,0.09581326312007349
2018-08-13,0.21897721,0.21897721,0.11506814,2,0.0,0.0,1.0,0.08136546042779667
2018-08-14,-0.017004075,-0.017004075,0.0,1,0.0,0.0,1.0,0.0
2018-08-15,-0.30450344,-0.2730324,0.36146948,4,0.25,0.0,0.75,0.18073473870754242
2018-08-16,0.2441491,0.2441491,0.0,1,0.0,0.0,1.0,0.0
2018-08-20,-0.12090525,-0.09473812,0.41923326,4,0.25,0.0,0.75,0.20961663126945496
2018-08-21,0.65609604,0.65609604,0.0,1,0.0,1.0,0.0,0.0
2018-08-22,-0.5107161,-0.5107161,0.0,1,1.0,0.0,0.0,0.0
2018-08-23,-0.40601,-0.40601,0.54678166,2,0.5,0.0,0.5,0.3866330189966251
2018-08-24,-0.28206983,-0.28206983,0.61179477,2,0.5,0.0,0.5,0.43260423039454915
2018-08-26,-0.69655883,-0.69655883,0.0,1,1.0,0.0,0.0,0.0
2018-08-27,-0.40181145,-0.6083798,0.38049167,3,0.6666666666666666,0.0,0.3333333333333333,0.21967697037735417
2018-08-28,-0.06201151,-0.06201151,0.0,1,0.0,0.0,1.0,0.0
2018-08-29,-0.43154612,-0.40943107,0.07166292,3,0.3333333333333333,0.0,0.6666666666666666,0.041374604844172665
2018-08-30,-0.35834733,-0.35834733,0.43297616,2,0.5,0.0,0.5,0.30616037633425897
2018-08-31,-0.32490057,-0.32490057,0.20221744,2,0.5,0.0,0.5,0.14298932647637846
2018-09-02,-0.053333487,-0.053333487,0.0,1,0.0,0.0,1.0,0.0
2018-09-04,-0.45895505,-0.41248828,0.37674206,3,0.3333333333333333,0.0,0.6666666666666666,0.21751213261558364
2018-09-05,-0.31725657,-0.31725657,0.37881443,2,0.5,0.0,0.5,0.2678622515888342
2018-09-06,-0.31292278,-0.31292278,0.09274061,2,0.0,0.0,1.0,0.06557751439341897
2018-09-07,-0.4373494,-0.5786949,0.33625713,3,0.6666666666666666,0.0,0.3333333333333333,0.19413814446908847
2018-09-09,-0.633164,-0.633164,0.0,1,1.0,0.0,0.0,0.0
2018-09-10,0.14918205,0.14918205,0.0,1,0.0,0.0,1.0,0.0
2018-09-11,-0.06820913,-0.06820913,0.0,1,0.0,0.0,1.0,0.0
2018-09-12,-0.0043620258,0.1038166,0.40980446,5,0.2,0.0,0.8,0.18327012752302346
2018-09-13,-0.3351985,-0.3351985,0.3872688,2,0.5,0.0,0.5,0.27384040272846794
2018-09-16,-0.6713986,-0.6713986,0.0,1,1.0,0.0,0.0,0.0
2018-09-17,-0.069189966,-0.069189966,0.0011268645,2,0.0,0.0,1.0,0.0007968135006955329
2018-09-18,-0.66616344,-0.66616344,0.11543082,2,1.0,0.0,0.0,0.08162191346427333
2018-09-20,-0.6512976,-0.6512976,0.0,1,1.0,0.0,0.0,0.0
2018-09-21,-0.592765,-0.592765,0.14112598,2,1.0,0.0,0.0,0.0997911353660923
2018-09-23,-0.074537076,-0.074537076,0.0,1,0.0,0.0,1.0,0.0
2018-09-24,-0.18583673,-0.18583673,0.0,1,0.0,0.0,1.0,0.0
2018-09-25,0.30427882,0.105183475,0.36645037,3,0.0,0.3333333333333333,0.6666666666666666,0.21157021939351534
2018-09-26,-0.510071,-0.510071,0.049517404,2,1.0,0.0,0.0,0.03501409235883846
2018-09-27,-0.64484787,-0.64484787,0.37068123,2,0.5,0.0,0.5,0.26211120874240146
2018-09-28,-0.3761169,-0.39569476,0.20136762,5,0.2,0.0,0.8,0.09005433586084317
2018-09-30,-0.4884732,-0.4884732,0.0,1,1.0,0.0,0.0,0.0
2018-10-02,0.52780306,0.52780306,0.1672533,2,0.0,0.5,0.5,0.11826594299303951
2018-10-03,-0.18529208,-0.18529208,0.0,1,0.0,0.0,1.0,0.0
2018-10-05,-0.7177874,-0.7177874,0.0,1,1.0,0.0,0.0,0.0
2018-10-07,-0.62856007,-0.62856007,0.0,1,1.0,0.0,0.0,0.0
2018-10-08,-0.58331585,-0.6454562,0.16893429,3,0.6666666666666666,0.0,0.3333333333333333,0.09753425529002484
2018-10-09,0.10922305,0.10922305,0.23722465,2,0.0,0.0,1.0,0.16774316105776652
2018-10-10,0.14928478,0.14644387,0.16684045,4,0.0,0.0,1.0,0.08342022448778152
2018-10-18,0.22665781,0.22665781,0.0,1,0.0,0.0,1.0,0.0
2018-10-22,0.005046714,-0.003166994,0.02243276,3,0.0,0.0,1.0,0.012951559680670839
2018-10-23,-0.045175653,-0.045175653,0.06532879,2,0.0,0.0,1.0,0.046194431644349866
2018-10-24,-0.012000291,-0.012000291,0.0,1,0.0,0.0,1.0,0.0
2018-10-25,0.009393126,0.009393126,0.0,1,0.0,0.0,1.0,0.0
2018-10-29,0.04716465,0.04716465,0.0,1,0.0,0.0,1.0,0.0
2018-10-30,0.022485599,0.022485599,0.0,1,0.0,0.0,1.0,0.0
2018-11-01,0.007344838,0.007344838,0.0,1,0.0,0.0,1.0,0.0
2018-11-05,-0.23451208,-0.23451208,0.0,1,0.0,0.0,1.0,0.0
2018-11-08,0.16266209,0.16266209,0.0,1,0.0,0.0,1.0,0.0
2018-11-12,0.33793887,0.22087108,0.22948073,3,0.0,0.3333333333333333,0.6666666666666666,0.1324907603773721
2018-11-15,0.2391689,0.2391689,0.0,1,0.0,0.0,1.0,0.0
2018-11-20,0.11070696,0.1711187,0.11503712,3,0.0,0.0,1.0,0.06641671270611492
2018-11-30,0.011090718,0.039939485,0.05292176,3,0.0,0.0,1.0,0.03055439285963234
2018-12-03,0.05577796,0.05577796,0.06192696,2,0.0,0.0,1.0,0.043788974022575484
2018-12-04,0.015856896,0.015856896,0.023109902,2,0.0,0.0,1.0,0.01634116820210974
2018-12-06,-0.08723309,-0.08723309,0.0,1,0.0,0.0,1.0,0.0
2018-12-07,-0.17456105,-0.17456105,0.0,1,0.0,0.0,1.0,0.0
2018-12-09,0.10984283,0.10984283,0.0,1,0.0,0.0,1.0,0.0
2018-12-11,-0.025070244,-0.025070244,0.0,1,0.0,0.0,1.0,0.0
2018-12-14,-0.65992105,-0.65992105,0.0,1,1.0,0.0,0.0,0.0
2018-12-19,0.42912972,0.42912972,0.0,1,0.0,0.0,1.0,0.0
2018-12-24,-0.9345954,-0.9345954,0.0,1,1.0,0.0,0.0,0.0
2018-12-27,-0.3388389,-0.3388389,0.0,1,0.0,0.0,1.0,0.0
2018-12-28,-0.34903607,-0.34903607,0.48934188,2,0.5,0.0,0.5,0.34601696509707097
2019-01-02,-0.0952858,-0.0952858,0.9440483,2,0.5,0.5,0.0,0.667542944433492
2019-01-03,-0.7947935,-0.81979215,0.16594258,4,1.0,0.0,0.0,0.08297128975391388
2019-01-05,-0.593612,-0.593612,0.0,1,1.0,0.0,0.0,0.0
2019-01-07,0.10962316,0.1263292,0.051913876,3,0.0,0.0,1.0,0.02997249033320233
2019-01-08,-0.6003164,-0.6003164,0.0,1,1.0,0.0,0.0,0.0
2019-01-10,-0.7027585,-0.7027585,0.0,1,1.0,0.0,0.0,0.0
2019-01-11,-0.7639597,-0.7639597,0.24089369,2,1.0,0.0,0.0,0.17033756300141525
2019-01-14,0.02160389,0.02160389,0.0,1,0.0,0.0,1.0,0.0
