,date,Price,Return,sent_mean,sent_median,sent_std,news_count,frac_neg,frac_pos,frac_neu,sent_se
75,2017-04-21,2348.6899,-0.0030397108767758,,,,,,,,
76,2017-04-24,2374.1499,0.0107817532304253,,,,,,,,
77,2017-04-25,2388.6101,0.0060722120917524,,,,,,,,
78,2017-04-26,2387.45,-0.000485797916494,,,,,,,,
79,2017-04-27,2388.77,0.000552738372021,,,,,,,,
80,2017-04-28,2384.2,-0.0019149508153329,,,,,,,,
81,2017-05-01,2388.3301,0.001730780506135,,,,,,,,
82,2017-05-02,2391.1699,0.0011883252784506,,,,,,,,
83,2017-05-03,2388.1299,-0.0012721530505317,-0.012661958,-0.012661958,0.0,1.0,0.0,0.0,1.0,0.0
84,2017-05-04,2389.52,0.0005819179171028,,,,,,,,
85,2017-05-05,2399.29,0.004080351300333,,,,,,,,
86,2017-05-08,2399.3799,3.746871607495309e-05,0.087905824,0.087905824,0.0,1.0,0.0,0.0,1.0,0.0
87,2017-05-09,2396.9199,-0.0010257908463981,0.133555,0.133555,0.02467659,2.0,0.0,0.0,1.0,0.0174489836272394
88,2017-05-10,2399.6299,0.0011299790063082,0.08923826,0.056043595,0.13521278,6.0,0.0,0.0,1.0,0.0552003858940321
89,2017-05-11,2394.4399,-0.0021651758293356,,,,,,,,
90,2017-05-12,2390.8999,-0.0014795190284075,0.035644475,0.035644475,0.0,1.0,0.0,0.0,1.0,0.0
91,2017-05-15,2402.3201,0.0047651564541562,-0.0057814233,-0.0057814233,0.0,1.0,0.0,0.0,1.0,0.0
92,2017-05-16,2400.6699,-0.0006871553198874,,,,,,,,
93,2017-05-17,2357.03,-0.0183454714886473,,,,,,,,
94,2017-05-18,2365.72,0.0036800634407031,,,,,,,,
95,2017-05-19,2381.73,0.0067446990247324,,,,,,,,
96,2017-05-22,2394.02,0.0051468469372128,,,,,,,,
97,2017-05-23,2398.4199,0.0018361842101411,,,,,,,,
98,2017-05-24,2404.3899,0.0024860460119661,,,,,,,,
99,2017-05-25,2415.0701,0.0044321220565041,,,,,,,,
100,2017-05-26,2415.8201,0.0003105017812351,,,,,,,,
101,2017-05-30,2412.9099,-0.0012053688453716,0.22942045,0.22942045,0.19585784,2.0,0.0,0.0,1.0,0.1384924052542358
102,2017-05-31,2411.8,-0.0004600898468854,,,,,,,,
103,2017-06-01,2430.0601,0.0075426328695464,,,,,,,,
104,2017-06-02,2439.0701,0.0037008705512714,,,,,,,,
105,2017-06-05,2436.1001,-0.0012184191507508,,,,,,,,
