date,Price,Return
2017-01-03,2257.8301,
2017-01-04,2270.75,0.00570595408204358
2017-01-05,2269.0,-0.0007709676024811847
2017-01-06,2276.98,0.0035107977582784673
2017-01-09,2268.8999,-0.003554915082248748
2017-01-10,2268.8999,0.0
2017-01-11,2275.3201,0.0028256573281020955
2017-01-12,2270.4399,-0.0021471445368446253
2017-01-13,2274.6399,0.0018481528951304238
2017-01-17,2267.8899,-0.0029719144465069273
2017-01-18,2271.8899,0.001762200464047433
2017-01-19,2263.6899,-0.0036158591826330284
2017-01-20,2271.3101,0.0033606205829025196
2017-01-23,2265.2,-0.002693746320419606
2017-01-24,2280.0701,0.0065431328502349026
2017-01-25,2298.3701,0.00799403144080286
2017-01-26,2296.6799,-0.0007356612338180316
2017-01-27,2294.6899,-0.0008668437574383386
2017-01-30,2280.8999,-0.0060276564792746
2017-01-31,2278.8701,-0.0008903081225923263
2017-02-01,2279.55,0.0002983051101593974
2017-02-02,2280.8501,0.0005701692863401549
2017-02-03,2297.4199,0.0072384863054254815
2017-02-06,2292.5601,-0.0021175699310176624
2017-02-07,2293.0801,0.0002267949422761055
2017-02-08,2294.6699,0.000693063076076999
2017-02-09,2307.8701,0.005736065821578932
2017-02-10,2316.1001,0.0035597152812902027
2017-02-13,2328.25,0.0052321325720731645
2017-02-14,2337.5801,0.003999336553640867
2017-02-15,2349.25,0.0049798793077663545
2017-02-16,2347.22,-0.0008644791200295176
2017-02-17,2351.1599,0.0016771316953331098
2017-02-21,2365.3799,0.00602986243672705
2017-02-22,2362.8201,-0.0010827800220358922
2017-02-23,2363.8101,0.0004189030969579009
2017-02-24,2367.3401,0.0014922378304719896
2017-02-27,2369.75,0.0010174601525520396
2017-02-28,2363.6399,-0.0025817029751754855
2017-03-01,2395.96,0.013581224247191798
2017-03-02,2381.9199,-0.005877142459359411
2017-03-03,2383.1201,0.00050375234011923
2017-03-06,2375.3101,-0.0032825981194474973
2017-03-07,2368.3899,-0.002917640200302731
2017-03-08,2362.98,-0.0022868228322692006
2017-03-09,2364.8701,0.0007995600794088874
2017-03-10,2372.6001,0.0032633479615399607
2017-03-13,2373.47,0.00036657697480754065
2017-03-14,2365.45,-0.003384740682155033
2017-03-15,2385.26,0.008339854388317126
2017-03-16,2381.3799,-0.0016280234875743768
2017-03-17,2378.25,-0.001315186481685468
2017-03-20,2373.47,-0.002011903736902209
2017-03-21,2344.02,-0.012485615265953647
2017-03-22,2348.45,0.00188813197147545
2017-03-23,2345.96,-0.0010608362855033045
2017-03-24,2343.98,-0.0008443605323889107
2017-03-27,2341.5901,-0.0010201107469289426
2017-03-28,2358.5701,0.0072253170733640746
2017-03-29,2361.1299,0.001084730068011425
2017-03-30,2368.0601,0.0029308211176550542
2017-03-31,2362.72,-0.0022575990239317536
2017-04-03,2358.8401,-0.001643482574038187
2017-04-04,2360.1599,0.0005593558103036884
2017-04-05,2352.95,-0.003059510928903353
2017-04-06,2357.49,0.0019276336842417722
2017-04-07,2355.54,-0.0008274931885733614
2017-04-10,2357.1599,0.0006874615817560651
2017-04-11,2353.78,-0.0014349156014193943
2017-04-12,2344.9299,-0.0037670384654595376
2017-04-13,2328.95,-0.00683798583087206
2017-04-17,2349.01,0.00857644056804569
2017-04-18,2342.1899,-0.0029076163669309834
2017-04-19,2338.1699,-0.0017178170740419756
2017-04-20,2355.8401,0.007528864858732886
2017-04-21,2348.6899,-0.003039710876775877
2017-04-24,2374.1499,0.010781753230425304
2017-04-25,2388.6101,0.006072212091752465
2017-04-26,2387.45,-0.00048579791649409573
2017-04-27,2388.77,0.000552738372021074
2017-04-28,2384.2,-0.0019149508153329291
2017-05-01,2388.3301,0.0017307805061350721
2017-05-02,2391.1699,0.0011883252784506248
2017-05-03,2388.1299,-0.001272153050531794
2017-05-04,2389.52,0.0005819179171028454
2017-05-05,2399.29,0.00408035130033309
2017-05-08,2399.3799,3.746871607495309e-05
2017-05-09,2396.9199,-0.0010257908463981585
2017-05-10,2399.6299,0.0011299790063082212
2017-05-11,2394.4399,-0.0021651758293356163
2017-05-12,2390.8999,-0.0014795190284075297
2017-05-15,2402.3201,0.004765156454156205
2017-05-16,2400.6699,-0.0006871553198874533
2017-05-17,2357.03,-0.01834547148864735
2017-05-18,2365.72,0.003680063440703132
2017-05-19,2381.73,0.006744699024732498
2017-05-22,2394.02,0.00514684693721281
2017-05-23,2398.4199,0.00183618421014112
2017-05-24,2404.3899,0.0024860460119661633
2017-05-25,2415.0701,0.004432122056504186
2017-05-26,2415.8201,0.00031050178123516323
2017-05-30,2412.9099,-0.0012053688453716094
2017-05-31,2411.8,-0.0004600898468854521
2017-06-01,2430.0601,0.0075426328695464995
2017-06-02,2439.0701,0.003700870551271441
