Date,y_real,VaR_95,ES_95,VaR_99,ES_99
2020-02-20,-0.003822810945766042,-0.008139170293175508,-0.013940527116581877,-0.016312975633457672,-0.02201820742653687
2020-02-21,-0.010573815022893411,-0.0096986010240898,-0.017084895455079987,-0.01994845744789326,-0.0337584974306951
2020-02-24,-0.034088077119718924,-0.014764764661689642,-0.0288199061162665,-0.032872234118213266,-0.07924678351438758
2020-02-25,-0.030747894188901708,-0.021191634595045687,-0.04828718259111155,-0.048680070469075576,-0.1054539726572963
2020-02-26,-0.003785707429141436,-0.024029865514074718,-0.04929708364686805,-0.054772828422233105,-0.08916684400291787
2020-02-27,-0.045168142012242396,-0.01862143043804478,-0.03027853123084148,-0.03747247195487626,-0.058856638144911065
2020-02-28,-0.00827244991427585,-0.023147455126079887,-0.0480324908720507,-0.05178778794353921,-0.0757583268692634
2020-03-02,0.04501086517277787,-0.019585227004549628,-0.03245488724350315,-0.039591056542295056,-0.05725057747917594
2020-03-03,-0.028510496965974956,-0.013765295372699642,-0.02226198929994239,-0.02942184577909342,-0.044046021441143515
2020-03-04,0.041336349592367705,-0.02368961909999402,-0.04253876281315504,-0.053436482571657694,-0.08894530614064111
2020-03-05,-0.034510790641792875,-0.014081689610024789,-0.026427022314778358,-0.030456433284957125,-0.05091858444799869
2020-03-06,-0.017200935741993616,-0.02506548207315295,-0.043951442764607496,-0.05634459174011876,-0.10770720873331709
2020-03-09,-0.07901039208227291,-0.02570880183576791,-0.052597205905960065,-0.05720518272717175,-0.09172856132764186
2020-03-10,0.04821504412661991,-0.027178210945159435,-0.05556156347098234,-0.06219104192105314,-0.0981701970763801
2020-03-11,-0.0501028933153897,-0.01532644296631936,-0.02853813033169251,-0.033450581218462457,-0.055896466622792115
2020-03-12,-0.09994485568020663,-0.02878655790261984,-0.061504573451695944,-0.06792579030342931,-0.13526545549336425
2020-03-13,0.08880839675292464,-0.030991357687601837,-0.06089448904742837,-0.07695569104721933,-0.24669203250910804
2020-03-16,-0.12765218306533924,-0.0177060671074046,-0.03515838054763479,-0.041152872607021024,-0.08576737351845086
2020-03-17,0.05822628906125666,-0.03436030946674579,-0.09894865919257545,-0.0903774443986944,-0.2185109764358062
2020-03-18,-0.05322225498339527,-0.020401456164837403,-0.044824540994966494,-0.05397541512134922,-0.12448197947312867
2020-03-19,0.004696763073460723,-0.03801939363951352,-0.10356998285054533,-0.1052106961428207,-0.1940915553598089
2020-03-20,-0.04432763662433127,-0.021744826111293802,-0.05044917996166583,-0.06335589112474838,-0.12845584394426293
2020-03-23,-0.029731492566541326,-0.03814380268419034,-0.1131626176094077,-0.10893323878001093,-0.28016350436432746
2020-03-24,0.08968324250380817,-0.03966555188202525,-0.10649868495926638,-0.11393853426587014,-0.29382917731086156
2020-03-25,0.011468998208523158,-0.024531116009365042,-0.0843466620805558,-0.07435362639962426,-0.3581286723960654
2020-03-26,0.060543826378568824,-0.02429668002468785,-0.09952280423139173,-0.07465072748721419,-0.1792819880248673
2020-03-27,-0.03426784604443033,-0.025758795161179727,-0.16246560688008777,-0.08200784416203327,-0.2002677839268114
2020-03-30,0.03296657815014714,-0.04474729280296375,-0.1263073068864426,-0.14035238806202563,-0.316536791885711
2020-03-31,-0.016142305210898853,-0.027574781609465866,-0.15441839172963284,-0.08998957260100963,-0.44397025213769686
2020-04-01,-0.045146367418007594,-0.046288330187070986,-0.14307045655494163,-0.1469346325212327,-0.35403944785268765
2020-04-02,0.02257265612944036,-0.04919540897420054,-0.13850487342042464,-0.15749942951580603,-0.48595602188650966
2020-04-03,-0.015252860840200081,-0.030952188072456997,-0.08485239490282259,-0.10044260607486791,-0.2161743974619158
2020-04-06,0.06796823320806748,-0.051896858776065494,-0.13292730829652324,-0.15927161642780335,-0.3827389615305984
2020-04-07,-0.0016043317232304628,-0.035172594707159874,-0.11927155237338394,-0.11111175902591218,-0.6856988902891542
2020-04-08,0.033489382847015935,-0.036844503047623337,-0.09734814161079598,-0.1149525550021734,-0.3219090148672498
2020-04-09,0.014383474542832082,-0.03633852345463985,-0.10380077588269863,-0.11474737426286805,-0.3156201385346633
2020-04-13,-0.01015606456245454,-0.03671639851063227,-0.10735004176326747,-0.11665369643079204,-0.2853294300753061
2020-04-14,0.03011456789724921,-0.0478792268222068,-0.365556672571945,-0.14616464518085426,-0.3851019732715082
2020-04-15,-0.02227674988750678,-0.03841174816664322,-0.10118599359930475,-0.11624328246660218,-0.30453546129599934
2020-04-16,0.0057998230646387535,-0.0567560410140212,-0.15234143685215135,-0.17053481279316593,-0.45448831225946745
2020-04-17,0.026440963867117688,-0.03693243000524838,-0.09700659974909528,-0.10988495385658635,-0.25800787555698007
2020-04-20,-0.018042864309024128,-0.040075246765134805,-0.11635954786366717,-0.11746514493221454,-0.23086618034894146
2020-04-21,-0.031155095816266385,-0.05595083978908071,-0.12951880077701494,-0.16792791235664933,-0.3471694143183659
2020-04-22,0.022671300242961868,-0.0561719853135997,-0.16563698428266246,-0.16570731272228806,-0.41456019429427055
2020-04-23,-0.0005395999041152027,-0.04116213343770572,-0.1367356238919517,-0.1174638349697772,-0.7228376673246076
2020-04-24,0.013822111461719605,-0.03890527501403631,-0.09771446462252414,-0.11055516051844606,-0.24170365912901287
2020-04-27,0.014606871524449172,-0.041050258458866805,-0.10821874532857759,-0.11639796425596256,-0.291756123526356
2020-04-28,-0.005256174383759823,-0.039762860690269554,-0.08789142853008385,-0.11225639476522403,-0.2626272257944308
2020-04-29,0.026236698130889177,-0.03838988700546214,-0.1123128161358326,-0.10859349839656061,-0.2780271462655055
2020-04-30,-0.009255150860855394,-0.03995948208747717,-0.1120391273192491,-0.10880984413931472,-0.31687266308367834
2020-05-01,-0.02846018635123911,-0.04176599520937654,-0.1128722141878307,-0.11441172413961372,-0.22489713552092633
2020-05-04,0.0042408122145938705,-0.05621733319001096,-0.14174464311827656,-0.15934690022211587,-0.3116916783256677
2020-05-05,0.00899991732738227,-0.037625093790711155,-0.09363012784584378,-0.10617279715604076,-0.270773172145176
2020-05-06,-0.007003873643627521,-0.037500659930883175,-0.09419431358462196,-0.10896316395743766,-0.29506852585976223
2020-05-07,0.01143894906335469,-0.03871308902745714,-0.08585840727846845,-0.10837757406621443,-0.19538374451694288
2020-05-08,0.01673079277043223,-0.03815333914531945,-0.1015596330610571,-0.10754174675162685,-0.2990610458270552
2020-05-11,0.00013307190190723928,-0.0397263212895701,-0.08365119580665491,-0.09667741871448064,-0.2436171806714796
2020-05-12,-0.020713357629562903,-0.03606691688732241,-0.10149046033977738,-0.09121341471305375,-0.16027661092593523
2020-05-13,-0.017616990635854767,-0.0584093461411775,-0.12462534594226096,-0.1663520826395642,-0.5609527640983321
2020-05-14,0.01145891780407149,-0.060126026910885984,-0.13018753252705162,-0.16679058888724704,-0.3072140939861045
2020-05-15,0.003918692254435327,-0.039492688625125984,-0.08295831084968217,-0.0954823226329361,-0.1670907265081531
2020-05-18,0.0310151876199215,-0.03632168242480797,-0.07728742857452918,-0.0854777833706109,-0.21327311730807258
2020-05-19,-0.010539757778119907,-0.040772647037768034,-0.08545447845132022,-0.09579072301787482,-0.18098561808947963
2020-05-20,0.016514002281781796,-0.01799062411515495,-0.03594105811980984,-0.04131209528537389,-0.07883763115786352
2020-05-21,-0.00780396912441398,-0.017990705227291928,-0.02965483423046751,-0.03581635409581432,-0.05271390785004064
2020-05-22,0.002350965520250863,-0.014852531359700195,-0.028753199163169905,-0.0342330838733757,-0.04961406054074009
2020-05-26,0.012214261971750162,-0.013667704200156854,-0.024759351247685357,-0.030263529920645203,-0.044133764141637506
2020-05-27,0.014718459679629982,-0.01838080095936103,-0.028409118789958117,-0.036087228529991175,-0.07126434806766593
2020-05-28,-0.0021101385393776264,-0.017636062820469405,-0.030836252092047038,-0.03554133267272924,-0.0546931115491666
2020-05-29,0.004800800706969944,-0.01794144606189953,-0.029383613262682844,-0.03529230252234213,-0.053743142562064625
2020-06-01,0.003744209268851587,-0.016174445206015246,-0.02911301595067151,-0.03282355989577572,-0.05167710385357319
2020-06-02,0.008177311160913735,-0.015705485311063503,-0.024654014813245827,-0.03231293424452369,-0.04827143313059794
2020-06-03,0.013556655038617247,-0.01674718315517212,-0.030490223603299522,-0.033254082233175566,-0.04713946754356301
2020-06-04,-0.003374382826809357,-0.01870979788189608,-0.030292382758306896,-0.03631853907690884,-0.0517304729805068
2020-06-05,0.02587400216210068,-0.017258276550686347,-0.02978898579414787,-0.03441818912289957,-0.05724698975927317
2020-06-08,0.011969668608388082,-0.019025296337562544,-0.03652617219473106,-0.03655902814985274,-0.05437767893612937
2020-06-09,-0.007829755581376987,-0.018360378398073758,-0.031210250720648255,-0.03593862439789228,-0.05110204566561282
2020-06-10,-0.0053272435431177614,-0.01828446151271233,-0.030960087405907374,-0.03700601676287522,-0.07155642158806994
2020-06-11,-0.06075269454208999,-0.017685276431517953,-0.030587630680836992,-0.03537709901068813,-0.06400105538735155
2020-06-12,0.012976299439118075,-0.022479008762387544,-0.055396961734291594,-0.05696617160156355,-0.1090104420813985
2020-06-15,0.008277851152373124,-0.017841818839286237,-0.030222386482205536,-0.03581857530355129,-0.06324943423643827
2020-06-16,0.018784852043162676,-0.014085972216091683,-0.02454921466868432,-0.031112637368510887,-0.07266260299238819
2020-06-17,-0.003606796221336869,-0.016938825910672733,-0.029258261859989077,-0.03488362744627719,-0.05138926968492943
2020-06-18,0.0005940441542647076,-0.013701209884347082,-0.027409423697046468,-0.03221707677913477,-0.05288530503717753
2020-06-19,-0.005665514300189248,-0.013097205593288721,-0.027619700181478,-0.030102583826077296,-0.04688508103263099
2020-06-22,0.0064740877637197505,-0.01473742696504709,-0.026815993360607325,-0.035563211474022055,-0.05872962645308939
2020-06-23,0.004298159097032061,-0.013173096652253826,-0.026478884585211648,-0.02993607640254199,-0.04361926003720674
2020-06-24,-0.026195245949416766,-0.014080921401127638,-0.025445059550243267,-0.03075096548975337,-0.043592748911701555
2020-06-25,0.01089981739007166,-0.02165403801869546,-0.05036462131704034,-0.05504083981119653,-0.32574331493449943
2020-06-26,-0.024525217335129464,-0.017288924219466498,-0.028120434676985145,-0.03537756881318423,-0.057690368632461894
2020-06-29,0.014578907539069857,-0.02080485710327081,-0.04318065911961297,-0.05294994079180645,-0.09181427723950347
2020-06-30,0.01529233363768146,-0.01813394455384587,-0.02949144690238283,-0.036592949056771365,-0.07749243494389008
2020-07-01,0.005009574193531731,-0.01757633639331506,-0.03096339101848319,-0.036180551910269663,-0.04879292159865649
2020-07-02,0.004530969738785765,-0.015712837909303577,-0.02852388492557455,-0.033080144333037104,-0.04891150073963628
2020-07-06,0.015756943165826313,-0.01527866541684997,-0.025702886334896178,-0.03252343943122631,-0.050711425231652875
2020-07-07,-0.01087747702372038,-0.017522742903020357,-0.029516630019127008,-0.03596380776776423,-0.059313002824727276
2020-07-08,0.007796963141685937,-0.017309777692048757,-0.03440516521567004,-0.039127263795390624,-0.06211116785504805
2020-07-09,-0.005659593904948943,-0.015078603889356222,-0.02499322827742419,-0.032456359021436676,-0.05228042321011389
2020-07-10,0.010411813000986475,-0.015283714978851611,-0.030356919166712022,-0.03588888037559145,-0.05249319301637386
2020-07-13,-0.00940662366648347,-0.016801223911922708,-0.03071263238088701,-0.033984207332829516,-0.04836445959853814
2020-07-14,0.013317285189446137,-0.017250221301657064,-0.03160380035019515,-0.038666748188463385,-0.06553848026673607
2020-07-15,0.009041075877543929,-0.017616954894761644,-0.028782955287848612,-0.03571326770720802,-0.04633449503742026
2020-07-16,-0.0034119182072365776,-0.01559082971601034,-0.02722664419218789,-0.03268024092002287,-0.0534552889343466
2020-07-17,0.0028445588044740708,-0.013004178393904602,-0.02443987121484786,-0.030207352765333265,-0.05840339417022599
2020-07-20,0.008371794922284731,-0.014109748161275212,-0.026056411747871783,-0.03106626951698307,-0.049884818471184714
2020-07-21,0.0016776106203393963,-0.016401746277418697,-0.031042521675102044,-0.033209578438486695,-0.060808192819600426
2020-07-22,0.005730639622957727,-0.015699610647584038,-0.027406636012014898,-0.03240099575568242,-0.05300350352602081
