Date,y_real,mu_pred,sigma_pred,VaR_95,ES_95,VaR_99,ES_99
2020-02-21,-0.0105738150228934,0.0021702306400129285,0.004686977328183663,-0.00849026003151651,-0.014132098839074073,-0.01773928188397823,-0.02861511665556849
2020-02-24,-0.0340880771197189,0.0019133549320989069,0.0062441898092740564,-0.014506551705144448,-0.0315622906190146,-0.03338852160141833,-0.05381083483968349
2020-02-25,-0.0307478941889017,0.0016629855732266515,0.0067335104226891405,-0.016773804503657272,-0.028947200772624596,-0.039589895413527414,-0.07007858338747977
2020-02-26,-0.0037857074291414,0.0015207980406435153,0.008921498809183614,-0.023094769398024392,-0.04814134946056638,-0.05397712896560293,-0.10658989865560609
2020-02-27,-0.0451681420122423,0.002018240388179533,0.008425141510020396,-0.017791731558733773,-0.03047664885477505,-0.036171829887819,-0.05332245350331907
2020-02-28,-0.0082724499142758,0.0013212345085092628,0.009840519665260132,-0.025694160457924303,-0.04564509806017926,-0.05928524475426114,-0.09582838519010436
2020-03-02,0.0450108651727778,0.0011865104785407719,0.008080195729989999,-0.01810639542068973,-0.029654924536319974,-0.036560998674275334,-0.050359655145648316
2020-03-03,-0.0285104969659749,0.0014844225035755788,0.006343122761105052,-0.013611664282772136,-0.028836262373501655,-0.027959119665895222,-0.04050671604661538
2020-03-04,0.0413363495923677,0.0012586571948073845,0.008830265470803674,-0.022667743436551355,-0.04197143895500609,-0.05172619498206808,-0.09353329662566762
2020-03-05,-0.0345107906417928,0.0013511562347014693,0.006356345769544925,-0.014081423949862825,-0.024065001900057843,-0.029335535337428213,-0.059815845616017695
2020-03-06,-0.0172009357419936,0.0007493561131889544,0.009106505852397294,-0.02421718009739935,-0.0474296881013372,-0.05518578186278493,-0.08833805911802958
2020-03-09,-0.0790103920822729,0.0012612408758036374,0.009676998086694252,-0.025170839302535542,-0.05677670480431753,-0.057739484257954395,-0.09432967745823023
2020-03-10,0.0482150441266199,0.0012808030709100836,0.009837510842051849,-0.026188922442255968,-0.04837342602396353,-0.06139149632782789,-0.1388676388648151
2020-03-11,-0.0501028933153897,0.0012433797707614809,0.006801070828995453,-0.01596834103515926,-0.02823883605187588,-0.034393164191335604,-0.052600060398152695
2020-03-12,-0.0999448556802066,0.0011840975332593803,0.010103774105333146,-0.02805509434623169,-0.05514628734036418,-0.06793520320068785,-0.14426762114197833
2020-03-13,0.0888083967529246,0.0011728121443658275,0.010119977798029799,-0.02967575693875791,-0.06230959041625205,-0.07562377646469756,-0.15477377789885743
2020-03-16,-0.1276521830653392,0.0010260408700749277,0.0070204817600010225,-0.017392945506330637,-0.034036365138013495,-0.03848437552099862,-0.0640521205697794
2020-03-17,0.0582262890612566,0.0006066511637396347,0.010254054142249171,-0.033282670865732285,-0.10968393013073398,-0.090832910522232,-0.27033069679868704
2020-03-18,-0.0532222549833952,0.0009309937797043055,0.007043041798215556,-0.020487826076435994,-0.038935172984878266,-0.05226589503107427,-0.09770550195470037
2020-03-19,0.0046967630734607,0.0013089509132125495,0.010646578692170283,-0.03556681383924092,-0.09493815254650201,-0.10293474135373838,-0.2180213410626425
2020-03-20,-0.0443276366243312,0.0016449678006070505,0.007152326507703471,-0.020681760149677923,-0.0438514950978357,-0.05526844192866809,-0.13100091481166606
